ID,NOM,Coord X,Coord Y,Coord X Y,LAT,LONG
653,Circular txapa pintada gris 60 L.,416923,4573231,"(416923, 4573231)",41.30626287011168,2.007580567334485
654,Circular txapa pintada gris 60 L.,416909,4573216,"(416909, 4573216)",41.306126332161625,2.007415399436041
655,Circular txapa pintada gris 60 L.,416850,4573276,"(416850, 4573276)",41.3066606371094,2.006702499788018
656,Circular txapa pintada gris 60 L.,416836,4573277,"(416836, 4573277)",41.30666820033581,2.0065351452531592
657,Circular txapa pintada gris 60 L.,417014,4573239,"(417014, 4573239)",41.30634428772166,2.0086663857176106
658,Circular txapa pintada gris 60 L.,417049,4573242,"(417049, 4573242)",41.306374906666456,2.0090840194350377
659,Circular txapa pintada gris 60 L.,417089,4573243,"(417089, 4573243)",41.306388025186514,2.0095616466456407
660,Circular txapa pintada gris 60 L.,417112,4573245,"(417112, 4573245)",41.30640840157384,2.0098360882197475
661,Circular acer inox. 60 L.,417210,4573255,"(417210, 4573255)",41.306508529217005,2.011005248831735
662,Semicircular  txapa pintada gris 40 L.,417056,4572826,"(417056, 4572826)",41.30262895917633,2.009224346764477
663,Circular txapa pintada gris 60 L.,417326,4573002,"(417326, 4573002)",41.30424180176956,2.0124251509705586
664,Circular txapa pintada gris 60 L.,417288,4572985,"(417288, 4572985)",41.30408479762985,2.0119736013689176
665,Circular txapa pintada gris 60 L.,416913,4572702,"(416913, 4572702)",41.30149745037921,2.007533374287148
666,Circular acer inox. 60 L.,416805,4572599,"(416805, 4572599)",41.30055866133472,2.0062575933794644
667,Circular txapa pintada gris 60 L.,416317,4572496,"(416317, 4572496)",41.299580537976134,2.0004435746724414
